site_code,transect_Lat_start,transect_Lon_start,transect_Lat_stop,transect_Lon_stop,transect,plot,number_seedlings,plant_id,x_coord,y_coord,suspected_clone,survival,no_rosettes,rosette_number,no_leaves,leaf_length,leaf_width,no_fl_stems,fl_stem_height,inflor_length,inflor_phenology,disease (yes/no),disease_comments,herbivory (yes/no),herbivory_comments,other_comments,c_year,s_year,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,96,14.5,23,no,NA,1,1,9,90,8,2,150,5,mature seeds,no,,,"herbivory, side of leaf",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,97,13.5,24.5,no,NA,1,1,3,94,10,3,272,8,mature seeds,no,,,"herbivory, side of leaf",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,9,mature seeds,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,6,seeds dispersed,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,98,23,21,no,NA,1,1,3,138,3,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,99,4,21.5,no,NA,1,1,6,170,11,1,NA,NA,NA,no,,,"herbivory, infloresence and part of leaf gone (grazed by deer?)",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,100,17.5,21,no,NA,1,1,5,125,6,1,17,7,seeds dispersed,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,101,27,6.5,no,NA,1,1,3,140,5,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,102,29.5,4.5,yes,NA,2,1,5,182,5,0,NA,NA,NA,no,,,"herbivory, insect",,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,102,29.5,4.5,yes,NA,2,2,3,130,5,0,NA,NA,NA,no,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,103,32.5,9.5,no,NA,1,1,6,188,11,2,245,10,seeds deeloping,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,9,seeds developing,NA,,,NA,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,104,30.5,1,no,NA,1,1,3,132,4,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
BG,61.448026,7.480639,61.448072,7.480614,T2,P8,2,105,45,3,no,NA,1,1,3,155,5,0,NA,NA,NA,no,,,no,,2015,Y0,,,,,
